Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,-11,9,-2,-1
2,-5,19,-16,-3
3,5,2,-6,-3
4,-5,0,-2,-5
5,-5,1,-2,0
6,1,-9,2,-1
7,0,0,6,-7
8,-2,2,-2,-4
9,-8,0,12,-11
10,1,1,-3,-4
11,5,-7,4,-4
12,2,-9,8,-1
13,0,-3,4,-9
14,-2,11,-14,5
15,-1,-2,-3,2
16,3,-3,-3,1
17,-6,10,-12,2
18,0,-14,13,-8
19,0,-13,10,-3
20,-3,-6,3,-6
21,-6,11,-12,0
22,3,-3,0,-1
23,0,-10,11,-9
24,0,2,-9,1
25,0,-4,10,-5
26,-11,10,-5,-8
27,1,-11,7,-6
28,-2,-5,5,-10
29,-7,14,-18,1
30,0,-10,5,-13
31,-5,-11,7,-7
32,-7,5,-6,-4
33,2,0,-10,-6
34,-1,-3,4,-10
35,-5,-1,-5,0
36,2,-11,0,-3
37,-8,6,-2,-8
38,8,-8,-2,-8
39,-3,3,0,-12
40,3,-14,3,-8
41,6,-12,15,-15
42,-3,-7,9,-6
43,0,-8,5,-6
44,6,-12,12,-8
45,0,-7,9,-13
46,0,-3,0,-9
47,-1,-7,8,-10
48,-4,-12,15,-5
49,-8,5,-6,0
50,-9,4,-19,3
51,-10,10,-11,-1
52,-7,4,-9,-8
53,-4,3,-21,-1
54,0,1,-13,-7
55,-4,-5,-5,2
56,-11,-3,5,-9
57,-6,-8,9,-11
58,0,0,-18,5
59,0,-11,0,-4
60,-6,1,-3,-8
61,0,-4,-2,-5
62,0,0,-12,-3
63,4,-10,3,-10
64,-3,-6,3,-7
65,-10,18,-25,0
66,0,-13,-1,-4
67,2,-12,-8,-2
68,-5,0,-8,-8
69,2,-7,-8,0
70,-2,1,-12,-1
71,-2,-3,5,-13
72,-1,0,-3,-1
73,-1,0,1,-10
74,-11,15,-19,-4
75,-4,-8,11,-10
76,0,-9,-1,-4
77,-2,-7,-5,-2
78,-7,2,-10,-5
79,0,-22,18,-16
80,1,-13,4,-15
81,-7,-7,4,-7
82,-5,-3,-7,0
83,-4,-21,10,-8
84,-7,6,-11,-5
85,0,-3,-7,-8
86,1,-17,12,-12
87,2,-18,13,-10
88,2,-11,9,-12
89,-12,1,0,-10
90,-1,-11,8,-15
91,-13,4,-3,-4
92,1,-3,-7,1
93,0,-5,-2,-7
94,1,3,-18,0
95,-9,-2,1,-5
96,5,-8,-1,-4
97,4,-29,28,-18
98,-5,-10,4,-17
99,-2,-4,7,-9
100,7,-21,13,-4
101,-9,-9,6,-9
102,-1,-7,1,-6
103,-1,-15,4,-3
104,-2,-12,3,-2
105,-6,5,-10,-6
106,-5,-3,0,-5
107,-7,-4,6,-13
108,3,-15,-3,-2
109,-5,-14,0,-3
110,4,-15,7,-12
111,5,-20,14,-10
112,-5,-6,2,-1
113,2,-16,8,-9
114,-3,-9,-1,1
115,-1,-1,-10,-2
116,-1,-16,6,-8
117,5,-12,-2,-8
118,-3,6,-11,-3
119,-9,8,-5,-3
120,-5,-9,3,-7
121,-1,-2,-7,-1
122,0,-29,19,-13
123,-3,-4,-6,-3
124,-7,-4,-6,-4
125,-1,-20,0,-6
126,-3,-11,3,-14
127,-5,1,-12,-1
128,2,-26,23,-19
129,-1,-12,5,-12
130,-5,-12,-1,-7
131,0,-11,-5,-12
132,-3,-8,0,-9
133,0,-5,1,-7
134,-6,-15,10,-5
135,-8,-1,3,-10
136,-9,-1,-9,-3
137,1,-27,19,-19
138,-12,2,11,-14
139,-4,-9,0,-8
140,0,-8,-9,-5
141,-1,-23,16,-15
142,-3,-20,13,-6
143,-8,-3,10,-8
144,-9,-4,1,-8
145,0,-19,5,-7
146,0,-11,-6,0
147,-10,0,-4,-5
148,-2,-6,-6,-7
149,-14,-3,1,-10
150,-12,1,-5,-7
151,-3,-3,-9,0
152,-1,-15,2,-7
153,-7,-6,4,-11
154,0,-24,16,-14
155,2,-29,15,-10
156,-4,0,-6,-8
157,0,-21,19,-17
158,-9,-6,-4,-8
159,-3,-12,-2,-3
160,0,-6,-11,0
161,-7,-11,8,-12
162,-10,-6,-7,-2
163,-14,16,-15,-10
164,-13,14,-22,0
165,-8,-11,10,-11
166,-4,-9,0,-6
167,-9,1,-12,-4
168,7,-22,8,-13
169,-4,-1,-12,-1
170,-3,-13,-1,-6
171,-16,2,-1,-7
172,-6,-22,25,-17
173,0,-8,4,-8
174,0,-22,14,-11
175,-9,-1,0,-9
176,1,-21,12,-12
177,6,-23,15,-15
178,-3,-15,4,-11
179,-2,-18,10,-7
180,-8,3,-6,-6
181,-4,-5,-13,-6
182,-4,-19,11,-12
183,-10,3,-12,-1
184,2,-26,17,-21
185,-6,-13,14,-17
186,-6,-9,0,-9
187,-2,-26,24,-17
188,-8,-11,7,-15
189,2,-21,20,-12
190,0,-12,0,-8
191,-9,2,-12,0
192,-6,-5,3,-14
193,-3,-13,7,-11
194,-7,-7,-5,-6
195,-2,-7,-5,-7
196,-4,-8,1,-13
197,-10,6,-9,-4
198,2,-10,5,-5
199,0,-20,8,-7
200,4,-16,-2,-2
201,2,-16,5,-6
202,-13,11,-16,-10
203,-12,6,-6,-10
204,-1,-10,-3,-8
205,1,-3,-1,-9
206,-1,-10,15,-15
207,2,-15,0,-7
208,11,-23,6,-3
209,-1,-3,-2,-9
210,-1,7,-7,0
211,4,-2,1,-2
212,-1,-7,15,-14
213,7,-4,8,-6
214,1,0,4,-3
215,-8,-1,4,1
216,1,-18,7,2
217,0,4,-8,-4
218,-4,4,0,-3
