Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,-6,7,-16,7
2,-4,0,-6,0
3,-3,1,1,0
4,-4,2,0,0
5,-4,13,-10,0
6,-5,2,-2,-2
7,-2,0,-4,3
8,-8,7,-15,8
9,-7,0,-2,4
10,-5,-1,-3,-2
11,-1,-13,12,-3
12,-4,0,0,-2
13,2,0,-8,0
14,-3,1,-6,4
15,8,-13,8,-2
16,2,-8,0,-1
17,-6,1,-7,9
18,2,-2,0,-3
19,0,10,-23,7
20,-6,7,-9,3
21,-6,7,-13,4
22,0,-7,1,0
23,0,-7,-1,-2
24,1,-2,-5,-2
25,-5,-2,5,-4
26,-6,14,-21,6
27,0,0,-8,0
28,5,-12,-6,-3
29,-9,7,-13,1
30,2,-9,-2,7
31,-2,1,-4,1
32,1,-6,-3,-3
33,-5,-3,-3,0
34,-2,0,-4,-2
35,-11,17,-25,11
36,-1,-2,-13,4
37,3,-12,1,-3
38,-3,-7,7,-8
39,-2,0,-1,-2
40,-5,11,-10,-2
41,-2,0,-7,1
42,-8,9,-16,-2
43,-8,16,-15,4
44,-5,11,-13,6
45,-8,8,-13,1
46,-2,-2,-3,0
47,-3,6,-12,0
48,1,-8,0,5
49,2,0,-10,-2
50,-2,-2,-9,1
51,-10,13,-23,3
52,-2,-4,-6,-3
53,-12,4,-1,-4
54,0,5,-9,0
55,-6,4,-12,1
56,0,-7,-4,-4
57,-10,-3,4,-1
58,-3,-3,2,-1
59,-3,0,-8,3
60,-9,14,-14,1
61,-9,7,-10,1
62,-1,7,-20,0
63,6,-11,1,-3
64,-2,0,-3,0
65,1,0,-3,-3
66,-10,13,-17,6
67,0,8,-19,1
68,0,4,-7,-7
69,-2,-10,2,-1
70,-4,1,-7,-3
71,0,2,-7,0
72,-5,1,-3,-7
73,-1,0,-11,3
74,5,-13,2,-4
75,-11,12,-14,-2
76,-16,16,-15,6
77,0,-2,-5,-6
78,-5,0,-19,4
79,2,-9,-4,2
80,-2,4,-19,6
81,0,1,-5,-7
82,1,-9,14,-7
83,1,-4,-12,3
84,-9,0,0,-2
85,-4,-2,-1,-2
86,-16,20,-20,4
87,1,-11,1,-6
88,-1,0,-6,-4
89,-8,7,-22,7
90,-10,9,-16,0
91,-7,2,-10,-3
92,-3,3,-7,0
93,-2,-4,-3,-10
94,-6,-8,-5,-1
95,3,-11,-3,0
96,-7,6,-15,-7
97,-13,3,0,-3
98,-2,2,-10,0
99,-15,9,-5,-5
100,-3,3,-7,0
101,-8,5,-4,-7
102,-1,-5,-5,-2
103,0,-7,-4,-2
104,-1,-5,-8,0
105,-10,1,1,-6
106,-6,5,-5,2
107,1,2,-14,10
108,-4,1,-10,2
109,-9,-5,3,-7
110,2,2,-10,8
111,-3,-4,-5,5
112,-13,11,-12,0
113,4,-14,7,-7
114,2,-14,2,-4
115,0,0,-19,4
116,-2,-4,0,-2
117,-7,4,-12,-1
118,-8,13,-24,0
119,1,-8,2,-5
120,-4,-1,-2,-6
121,-3,5,-27,3
122,-4,0,-9,1
123,3,-13,-2,0
124,-8,11,-24,6
125,-6,3,-11,0
126,-5,0,-2,-2
127,0,-14,7,-9
128,-23,24,-23,6
129,-12,10,-21,3
130,-4,-13,6,-5
131,-6,-3,-3,0
132,-6,-1,0,-3
133,-4,0,-9,1
134,-6,7,-10,-1
135,-7,5,-12,0
136,3,-7,-5,-3
137,-5,7,-24,6
138,-2,-9,2,-2
139,-7,14,-27,5
140,-2,-1,-13,0
141,-12,9,-8,-3
142,-4,-4,-5,-3
143,-4,-5,-4,4
144,-5,-4,-5,0
145,-4,-11,8,0
146,-7,0,-13,1
147,-6,-3,-3,-5
148,-5,-3,0,-4
149,-7,5,-21,2
150,-2,-4,-6,-2
151,-5,3,-10,-2
152,-2,1,-10,-3
153,-7,-1,-15,1
154,-4,0,-13,-1
155,-10,7,-16,1
156,-1,-9,2,-6
157,-11,11,-29,0
158,-6,0,-5,-4
159,-9,5,-26,4
160,-6,-2,-15,3
161,-13,6,-13,-4
162,-7,2,-25,1
163,-5,-3,-5,-1
164,-9,3,-21,3
165,-7,4,-12,-3
166,-3,0,-18,-3
167,-3,8,-19,2
168,-12,6,-14,3
169,-1,-10,1,-9
170,-5,-6,-4,0
171,-3,-12,10,-12
172,-4,-7,-6,-4
173,1,-9,6,-11
174,-3,-13,9,-12
175,-2,-4,-12,-1
176,-6,-5,2,-14
177,-3,-9,4,-6
178,0,-1,-6,-9
179,-12,13,-10,-7
180,-1,-16,5,-13
181,-16,16,-24,0
182,-5,-10,6,-9
183,-1,-3,-3,-3
184,0,-17,0,-1
185,-8,-1,-8,-7
186,-8,7,-18,0
187,-5,-2,-5,-3
188,0,-8,-3,-6
189,-13,0,-9,-4
190,-5,-2,-12,-2
191,-4,0,-3,-5
192,1,-16,9,-3
193,-3,0,-8,-7
194,-5,1,-12,1
195,-6,-2,-11,-4
196,-3,3,-18,2
197,-3,-8,-7,0
198,-6,0,-15,0
199,0,-13,-5,-5
200,-9,1,-11,-3
201,-8,-2,-1,-3
202,-3,-2,-5,-8
203,-2,-9,-1,-5
204,-13,8,-15,-4
205,-2,-13,-2,0
206,-11,4,-13,3
207,-11,-3,-4,0
208,-6,3,-14,0
209,-7,6,-4,-12
210,-7,8,-21,-1
211,-4,0,0,-6
212,-10,0,0,-3
213,-1,-7,-4,-5
214,-10,0,-13,1
215,-2,-4,-7,-5
216,-2,-2,-14,-4
217,-9,11,-27,6
218,-4,-5,-3,1
219,-7,3,-16,1
220,-13,10,-18,-2
221,-5,-7,0,-6
222,0,-11,-1,-1
223,-7,-4,6,-6
224,-11,10,-16,-2
225,-6,0,-9,-4
226,-3,-7,-5,0
227,-7,5,-15,-6
228,-13,10,-17,-2
229,-8,9,-14,-3
230,-4,0,-17,-1
231,-2,-18,12,-10
232,-9,0,-5,0
233,-14,12,-21,8
234,-4,-1,-12,4
235,0,-11,4,-8
236,0,-11,7,-9
237,-3,0,-23,5
238,-1,-11,1,-4
239,-4,-5,-8,0
240,-4,-1,-1,-3
241,-8,10,-22,3
242,-13,15,-20,-2
243,-12,5,-4,-11
244,-2,-4,-7,1
245,-12,14,-16,0
246,-7,0,-10,4
247,-7,13,-16,-1
248,-6,-1,-7,-3
249,0,0,-11,-3
250,-4,4,-14,3
251,-9,4,-8,0
252,1,-13,-4,0
253,-9,1,-11,-6
254,-10,6,-19,0
255,-2,2,-20,7
256,-7,6,-20,5
257,-14,12,-23,5
258,-9,8,-13,1
259,-10,11,-18,2
260,-8,-4,-5,-7
261,-7,0,-12,4
262,-7,-8,0,0
263,-5,4,-9,-1
264,-6,5,-13,2
265,0,-8,-7,-1
266,-16,13,-16,1
267,-7,2,-18,2
268,-8,5,-17,5
269,-8,-5,5,-8
270,-3,0,-16,-2
271,-3,-8,-6,0
272,-9,8,-23,5
273,-9,1,-7,0
274,-11,7,-14,2
275,-9,1,-10,-4
276,-6,3,-13,-4
277,-8,5,-13,-3
278,-1,-1,-14,0
279,-4,-2,-11,-6
280,-12,10,-21,3
281,0,-22,10,-8
282,-4,-3,-15,0
283,-6,0,-6,-7
284,-5,12,-23,3
285,-2,6,-30,5
286,-2,0,-15,0
287,-8,6,-19,3
288,-11,2,-6,-5
289,-7,-3,-4,-3
290,-1,3,-17,3
291,0,-1,-15,6
292,-10,2,-4,-1
293,-10,5,-6,-3
294,-3,3,-10,0
295,-11,5,-10,3
296,-9,7,-12,1
297,-10,6,-18,5
298,0,-1,-10,6
299,0,-8,0,-3
300,0,-3,-8,0
301,-3,-5,5,-3
302,-11,9,-23,0
303,-8,2,-10,2
304,1,-5,-2,2
305,-5,1,-18,2
306,-4,1,-13,5
307,-4,1,-7,2
308,-6,1,-11,1
309,-10,8,-19,5
310,-13,10,-18,6
311,1,-12,3,-5
312,-4,-8,-1,3
313,-2,-3,-7,0
314,-10,11,-18,7
315,-4,-1,-8,2
316,-3,-4,1,-3
317,-9,7,-18,1
318,-4,0,-16,2
319,-12,0,-4,1
320,-1,-7,-5,-2
321,-7,0,-7,-1
322,-3,-18,7,-2
323,-1,0,-13,5
324,-7,7,-24,7
325,-12,11,-20,2
326,-14,10,-17,2
327,-13,8,-16,3
328,-7,0,-12,5
329,-3,-5,-11,9
330,-7,9,-19,0
331,-9,4,-20,11
332,-7,-14,-3,0
333,-4,-3,-10,6
334,-11,8,-16,7
335,-10,0,-4,0
336,-5,-6,-3,3
337,-7,0,-10,6
338,-19,14,-20,10
339,-8,4,-10,9
340,1,-12,-2,6
341,-11,5,-18,12
342,-12,4,-9,10
343,-4,-4,-5,9
344,-7,-1,-7,11
345,-16,7,-16,18
346,-6,0,-15,15
347,-9,5,-16,15
348,-6,11,-36,22
349,-11,13,-19,18
350,-8,3,-23,16
351,-8,6,-18,13
352,-14,16,-40,25
353,-12,6,-20,13
354,-10,1,-12,15
355,-7,7,-24,12
356,-12,4,-11,11
357,-1,-8,-6,8
358,-1,-4,-6,6
359,-9,1,-17,12
360,-12,7,-15,3
361,-4,-6,-7,9
362,-16,20,-23,11
363,-3,-4,-6,9
364,-14,10,-14,10
365,-3,2,-14,8
366,-6,3,-15,11
367,-6,6,-21,12
368,-11,10,-24,17
369,-8,9,-18,14
370,-3,1,-9,4
371,-9,3,-4,4
372,-13,12,-9,3
373,-7,0,-9,10
374,-6,2,-13,10
375,-7,4,-14,11
376,-12,11,-26,16
377,-11,14,-27,13
378,-6,7,-26,15
379,-7,3,-6,4
380,-9,2,-14,12
381,-5,-3,-12,14
382,-10,5,-21,10
383,-2,1,-13,8
384,-9,1,-7,6
385,-5,-9,1,0
386,-8,0,-16,11
387,-9,9,-24,24
388,1,-4,-2,2
389,-13,14,-23,12
390,-5,0,-12,7
391,2,-7,-17,17
392,2,-14,3,4
393,-2,-1,-14,11
394,-2,-4,-15,9
395,-5,1,-20,20
396,-10,9,-21,17
397,-17,16,-15,8
398,-9,8,-16,4
399,-4,-6,-15,14
400,-13,0,-14,15
401,-11,-7,1,1
402,0,-4,-11,7
403,-13,13,-24,11
404,-3,0,-18,6
405,-14,8,-21,11
406,-14,2,-7,7
407,-3,-1,-15,9
408,-9,3,-11,10
409,-6,0,-15,12
410,-7,-4,-5,6
411,-4,0,-15,17
412,-4,-5,-5,7
413,-6,-5,-9,11
414,-5,0,-9,5
415,-6,5,-16,2
416,-10,15,-29,15
417,1,-17,11,-4
418,-1,-6,-3,8
419,-2,-8,-7,5
420,-6,-2,-15,12
421,-16,10,-18,7
422,-9,3,-7,4
423,-9,9,-17,5
424,-9,-4,-16,9
425,-11,5,-16,8
426,-18,19,-25,21
427,-1,-4,-8,12
428,-2,8,-28,14
429,-5,10,-20,13
430,-6,3,-11,10
431,-9,15,-30,16
432,-11,17,-30,14
433,-7,14,-24,17
434,-3,3,-10,8
435,-2,-8,-1,5
436,-14,11,-15,11
437,-10,12,-22,17
438,-8,5,-12,8
439,-7,11,-24,10
440,-4,-1,-10,5
441,-3,2,-25,11
442,-14,8,-12,7
443,-4,1,-6,4
444,-3,0,-13,12
445,-4,0,-8,12
446,-8,0,-16,15
447,-14,15,-24,20
448,-3,0,-6,10
449,-2,11,-26,17
450,-3,3,-7,8
451,-2,7,-17,21
452,-5,5,-20,20
453,-6,1,-5,8
454,-7,3,-15,19
455,-6,3,-20,15
456,-11,-3,0,9
457,-4,-5,-10,17
458,-8,6,-19,11
459,-1,-7,-8,10
460,-3,0,-10,14
461,-5,-6,0,8
462,-2,2,-6,11
463,-5,4,-14,13
464,-14,9,-14,8
465,-4,-12,0,11
466,-11,7,-18,14
467,-6,-1,-9,10
468,-5,8,-16,12
469,-8,4,-12,12
470,-12,4,-9,14
471,-4,2,-15,10
472,-12,21,-32,11
473,-12,2,-13,10
474,-14,11,-18,9
475,-4,0,-14,14
476,0,6,-33,19
477,-17,5,-9,3
478,0,-8,-12,10
479,-6,7,-28,9
480,-6,-1,-7,12
481,-5,11,-27,17
482,-9,8,-21,13
483,-10,13,-33,19
484,-3,-7,-14,16
485,-5,-5,-12,16
486,0,-8,-8,8
487,-9,4,-19,18
488,-6,7,-20,21
489,-9,0,-4,11
490,-5,4,-12,11
491,-15,7,-10,12
492,-2,0,-16,16
493,2,-10,-7,15
494,-11,0,-14,13
495,-14,15,-17,12
496,-10,2,-16,10
497,-7,8,-21,12
498,-8,4,-10,6
499,-18,16,-23,8
500,-16,7,-17,13
501,-5,0,-14,6
502,-5,1,-15,10
503,-9,0,-3,8
504,-7,3,-16,10
505,2,-14,-4,11
506,-10,8,-14,7
507,-9,2,-7,2
508,-8,3,-8,1
509,-12,5,-10,11
510,-12,12,-26,9
511,-4,5,-20,7
512,-11,16,-35,19
513,-6,9,-23,10
514,-10,6,-15,13
515,-11,4,-17,10
516,1,-4,-6,3
517,-5,0,-17,13
518,0,-1,-20,13
519,2,-4,-6,4
520,-7,6,-11,10
521,-7,2,-9,7
522,-2,3,-20,13
523,-2,1,-20,10
524,-14,5,-15,14
525,-6,7,-26,15
526,-10,11,-26,11
527,-18,19,-24,7
528,-14,13,-26,13
529,-3,-4,-5,7
530,-3,3,-20,9
531,-8,3,-18,8
532,-7,8,-14,0
533,-13,15,-24,8
534,-5,8,-18,4
535,0,6,-15,4
536,-11,15,-20,4
537,-9,9,-24,5
538,-15,14,-24,11
539,-9,0,-6,1
540,-11,3,-11,7
541,-4,3,-19,12
542,-16,17,-32,17
543,-3,4,-21,12
544,-11,2,-5,4
545,-4,-4,-6,1
546,-8,5,-21,9
547,-7,1,-14,5
548,-10,7,-15,4
549,-4,0,-15,11
550,-10,14,-19,6
551,-3,-14,8,1
552,-2,7,-17,3
553,-13,11,-14,1
554,-10,2,-10,1
555,-6,0,-7,5
556,-8,14,-28,8
557,-8,6,-18,7
558,-1,-10,-3,0
559,-16,19,-25,5
560,-5,4,-12,1
561,0,-4,-8,1
562,-3,-5,-7,1
563,-9,5,-16,3
564,-8,2,-22,9
565,-14,7,-12,4
566,-17,11,-23,4
567,-5,9,-23,6
568,-8,7,-23,9
569,-11,6,-10,4
570,-7,0,-8,1
571,-7,-1,-13,9
572,-6,-1,-11,2
