Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,-6,1,-1,-4
2,-1,-2,-7,6
3,-2,7,-5,-3
4,-7,7,-10,10
5,-2,3,-4,-3
6,0,-15,15,-2
7,2,-13,14,-3
8,1,-8,8,-9
9,-7,0,-7,4
10,0,0,-9,-2
11,3,-2,-1,-3
12,-6,12,-15,1
13,-3,1,-5,2
14,-12,11,-4,0
15,-5,-10,1,-1
16,-1,4,-6,2
17,4,-16,14,-8
18,-5,3,-3,2
19,-6,7,-3,-7
20,-11,13,-7,0
21,1,-16,10,-4
22,9,-21,16,-5
23,-4,-10,11,-2
24,-7,7,-3,-3
25,-5,-2,6,-4
26,0,-1,-4,0
27,-5,14,-19,4
28,-1,6,-15,5
29,-4,-2,-1,1
30,8,-8,0,-3
31,-2,-10,3,1
32,-1,-7,2,-3
33,5,-4,-16,5
34,-7,3,-7,0
35,-15,11,-12,2
36,-8,2,-5,5
37,-10,6,-3,2
38,-10,12,-16,-2
39,-5,-10,5,4
40,-7,1,-4,-4
41,-2,6,-13,0
42,-2,-9,2,2
43,-3,-5,3,-5
44,-6,0,0,-3
45,-10,4,-5,1
46,-12,-3,6,-6
47,-5,-2,-2,0
48,-6,-2,0,1
49,-2,-7,-1,-2
50,-1,-3,-11,5
51,-18,12,-5,-4
52,-13,8,-14,4
53,-14,8,-7,0
54,-5,-10,9,-1
55,-14,4,-6,-1
56,-6,-13,14,-10
57,-9,0,2,-4
58,-6,-10,7,-7
59,-8,10,-8,-4
60,-6,-2,-3,-4
61,-2,-8,0,-2
62,-9,-3,-2,-9
63,-4,-4,-6,3
64,-4,-8,-2,-1
65,-10,1,0,-4
66,-8,3,-9,-2
67,-3,2,-16,0
68,-15,11,-9,0
69,3,-13,5,-4
70,-3,-20,11,-6
71,-6,-5,4,-5
72,-1,-16,12,-14
73,-16,1,-4,-7
74,-10,-2,-3,-2
75,-10,-5,1,-7
76,-6,-4,0,-5
77,-11,2,-3,-7
78,-5,-4,-7,-4
79,-8,4,-4,-7
80,-6,6,-3,-1
81,-2,-7,6,-9
82,-6,-6,0,-4
83,-5,-5,4,-9
84,-7,5,-16,0
85,-5,-5,0,-1
86,-11,11,-22,0
87,-11,9,-11,2
88,-13,9,-16,1
89,-12,3,-12,5
90,-10,6,-14,1
91,-7,1,1,-9
92,-10,10,-7,-7
93,-10,5,-11,-2
94,-9,-11,6,-5
95,-11,-5,-2,-1
96,-2,-6,0,-10
97,-11,8,-15,-4
98,-10,-3,-5,-2
99,-12,3,-8,0
100,0,-25,21,-13
101,-5,0,-12,-1
102,-8,-2,-9,1
103,-12,14,-27,9
104,-21,16,-11,-4
105,-11,7,-16,-1
106,-16,7,-10,-6
107,-10,-3,-4,-4
108,-10,-10,0,-5
109,-15,8,-8,0
110,-16,0,-3,0
111,-23,21,-25,0
112,-9,-4,0,-7
113,-16,2,-6,1
114,-3,-13,0,-11
115,-17,4,-20,-2
116,-19,0,1,-5
117,-17,7,-9,-9
118,-20,-6,2,-10
119,-17,2,-9,-3
120,-9,-5,-1,-5
121,-21,-11,3,-1
122,-22,-2,0,-7
123,-11,-13,10,-9
124,-22,9,-12,0
125,-19,-12,5,-10
126,-13,-8,-2,-8
127,-23,5,-5,-5
128,-21,2,-9,-1
129,-18,-4,-10,-3
130,-22,0,0,-8
131,-4,-28,17,-7
132,-27,7,-5,-10
133,-18,2,-8,-3
134,-15,0,-8,0
135,-19,2,-13,0
136,-14,-5,0,-7
137,-26,3,-4,-4
138,-19,-5,4,-9
139,-10,-6,-15,4
140,-22,11,-22,1
141,-20,0,-8,-5
142,-26,6,-5,-6
143,-19,-6,2,-7
144,-22,-9,14,-12
145,-16,0,-8,-2
146,-18,-14,4,-4
147,-21,-11,9,-7
148,-23,-5,-7,1
149,-26,-3,0,-4
150,-25,2,4,-5
151,-24,7,-7,-5
152,-24,-3,-4,-4
153,-29,12,-15,1
154,-24,1,-16,0
155,-15,-1,-10,-6
156,-21,-7,-1,0
157,-32,13,-15,0
158,-27,3,-6,-4
159,-26,12,-19,1
160,-25,3,-19,2
161,-22,-10,9,-12
162,-27,-5,0,-7
163,-23,4,-15,3
164,-30,-1,-4,-9
165,-19,-16,13,-15
166,-21,-8,-9,-2
