Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,-2,-1,-1,0
2,1,0,-6,0
3,-2,15,-21,5
4,-2,0,-3,3
5,2,-5,0,-3
6,0,-3,6,0
7,2,-2,-2,0
8,1,-10,6,-1
9,-4,8,-11,6
10,-5,-1,-1,-2
11,-1,-3,0,-5
12,-7,-1,1,2
13,-3,2,0,0
14,-2,0,0,-1
15,-3,-7,8,-2
16,-1,-7,8,-5
17,-8,11,-10,4
18,-1,2,-7,-2
19,-7,5,-7,-3
20,-2,14,-27,3
21,0,-7,6,-5
22,-6,3,3,-1
23,-12,12,-9,2
24,-4,-3,3,-6
25,-11,12,-4,-3
26,-1,-4,2,-4
27,-9,7,-8,1
28,-2,-8,6,0
29,9,-11,4,-13
30,-7,11,-14,2
31,-9,5,-2,-5
32,-1,-1,-8,5
33,-10,2,0,2
34,0,-2,-3,-7
35,-8,8,-21,2
36,-1,0,-1,-5
37,-7,-7,5,-8
38,-8,4,-6,-3
39,-4,3,-14,-3
40,-5,4,-17,8
41,-8,0,0,-5
42,-8,10,-15,-2
43,-6,6,-11,-4
44,-4,0,2,-8
45,-9,9,-10,-2
46,-5,-1,1,-2
47,-2,-9,1,-6
48,2,-12,7,-1
49,-7,1,-10,0
50,-6,-4,4,-8
51,-6,-6,1,-7
52,-10,6,-5,-2
53,1,-13,6,-6
54,-5,9,-11,0
55,-3,9,-16,1
56,-3,-7,3,-5
57,0,-9,8,-2
58,0,-19,25,-12
59,-14,20,-17,-1
60,0,-4,0,1
61,2,-6,-11,-3
62,-9,12,-14,-1
63,-1,0,-12,-2
64,-2,-7,5,-4
65,-8,0,0,-3
66,-5,-8,5,-4
67,1,-10,-2,-6
68,-11,3,-8,-2
69,-11,6,-3,-4
70,0,-7,-3,-1
71,-5,-6,4,-5
72,-5,-1,-8,-1
73,-4,-1,-6,1
74,-4,-5,4,-1
75,-12,7,-11,-6
76,-3,3,-7,-3
77,-6,1,4,-5
78,-6,2,-12,-4
79,2,-6,-1,-3
80,0,-10,7,-9
81,0,-8,9,-8
82,0,-14,11,-6
83,5,-23,18,-8
84,-5,-1,-2,-3
85,-1,0,-8,0
86,3,-6,-2,1
87,-4,3,-13,-2
88,-12,6,-11,1
89,-8,-1,0,-7
90,-1,-5,0,-1
91,-9,21,-28,3
92,-1,-11,14,-6
93,-10,0,0,1
94,-9,3,-1,0
95,-9,1,4,-4
96,2,-22,19,-5
97,-4,0,-2,-8
98,-15,20,-16,4
99,0,-2,-6,0
100,-5,0,-2,-3
101,0,-14,15,-12
102,-9,3,-1,-4
103,-4,0,-11,2
104,-2,-4,-6,-6
105,-9,-1,-2,-2
106,-7,3,-7,0
107,-7,2,-7,3
108,-1,-3,-5,-2
109,-6,2,-10,0
110,3,-12,5,-7
111,-10,4,-14,-1
112,-7,5,-13,0
113,-1,0,-3,-5
114,-5,2,-11,1
115,-10,3,-13,-2
116,-5,-6,-1,0
117,5,-15,-4,-3
118,-11,3,-9,-1
119,0,-11,4,-7
120,-7,6,-9,1
121,-7,-7,0,-9
122,-2,-3,-12,0
123,-15,5,0,-3
124,-13,1,0,-5
125,-7,-4,-2,0
126,-8,-3,-1,-2
127,-9,4,-10,-1
128,-12,4,-5,-3
129,-9,3,-9,-7
130,-1,-18,9,-1
131,-7,1,-1,-6
132,-6,2,-11,-1
133,0,-2,-4,-1
134,-7,2,-6,0
135,-3,2,-8,-1
136,-4,1,-4,-2
137,-10,7,-7,-1
138,4,-13,8,-8
139,-17,13,-7,-3
140,-3,-1,-14,0
141,-4,-12,20,-11
142,-7,0,-4,-4
143,-3,-4,3,-1
144,2,-9,0,-4
145,-6,-5,2,-4
146,-7,1,-5,-1
147,-11,-3,14,-15
148,-8,0,-5,0
149,-1,-17,12,-7
150,0,-14,5,-7
151,-4,-7,0,-8
152,-7,3,-11,-4
153,-2,-6,-3,1
154,-4,-2,-12,0
155,0,-4,-11,0
156,-10,1,-9,0
157,-7,1,-11,-5
158,-1,-7,-4,-1
159,-6,-1,-3,-8
160,-10,-1,1,-9
161,-8,5,-10,-7
162,-10,-1,-10,-2
163,-11,-1,0,-5
164,-13,11,-24,-1
165,3,-23,18,-11
166,-10,-8,2,-5
167,-2,-16,4,-12
