Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,-5,-2,1,-4
2,-7,10,-9,2
3,4,1,-13,2
4,12,-12,13,-10
5,10,-11,0,-2
6,-1,4,-5,3
7,3,-9,7,-1
8,6,-16,11,-5
9,3,-13,19,-13
10,7,-2,-18,3
11,0,7,-17,1
12,5,-13,14,-3
13,5,-17,17,-12
14,1,-1,-1,2
15,1,-1,-6,1
16,-5,3,-3,1
17,-1,-4,0,-3
18,-2,2,-1,-1
19,-10,7,-6,0
20,0,-5,-5,-3
21,2,-18,18,-6
22,1,0,-6,3
23,5,-7,3,-1
24,-4,-2,0,0
25,-13,20,-9,-4
26,-6,1,1,-7
27,-3,1,-3,-1
28,5,-4,-6,5
29,-7,13,-12,1
30,-5,8,-11,1
31,-3,12,-15,2
32,2,-14,7,-8
33,-4,3,-13,0
34,-8,11,-11,-4
35,-2,2,-12,2
36,-3,-3,0,-1
37,0,-5,7,-7
38,0,-9,-2,3
39,0,-6,0,-6
40,0,-8,17,-11
41,-2,3,-20,10
42,-5,7,-6,-5
43,-4,8,-15,2
44,2,-9,0,-9
45,-8,4,-9,-1
46,1,-5,-2,-2
47,4,-8,1,-3
48,-6,5,-2,-3
49,0,-7,-6,0
50,-3,1,-11,3
51,0,-11,4,-5
52,5,0,-17,2
53,-5,9,-16,2
54,-1,0,-1,0
55,0,-1,-12,-4
56,2,-12,1,-5
57,0,0,-14,8
58,-3,-11,3,-2
59,0,-3,-2,-7
60,-6,8,-4,-4
61,-2,11,-21,0
62,-5,10,-21,1
63,-6,4,-11,3
64,2,-9,-4,0
65,0,-7,3,-7
66,1,8,-19,0
67,0,6,-25,1
68,-2,4,-11,1
69,9,-24,11,-10
70,-2,4,-13,0
71,-3,1,-12,1
72,-4,1,-4,-1
73,-1,-1,-8,-5
74,-2,-2,2,-3
75,-4,1,-8,-3
76,0,-6,-4,0
77,1,-12,11,-8
78,-3,-3,-8,-1
79,4,-5,-11,6
80,-4,-13,16,-12
81,0,0,-11,6
82,-2,-8,1,-1
83,-2,-19,14,-3
84,0,-7,0,-7
85,-2,2,-10,1
86,2,-12,-3,0
87,0,-10,3,-13
88,-6,2,-8,0
89,-6,-2,-3,2
90,-2,-1,-3,-8
91,-8,7,-14,-2
92,6,-17,6,-9
93,-1,-1,-15,2
94,-5,5,-8,0
95,0,2,-17,3
96,-3,-3,-6,0
97,-6,7,-22,6
98,3,-7,-1,-2
99,-6,2,-12,2
100,4,-13,0,-4
101,-6,3,-8,-5
102,-11,13,-16,2
103,1,3,-15,2
104,-7,4,-15,4
105,2,-15,0,-4
106,0,-3,4,0
107,-4,0,-2,-1
108,-13,5,-10,-2
109,-10,14,-18,2
110,-4,2,-3,-2
111,-6,3,-19,-1
112,-5,8,-19,0
113,-2,-3,-6,1
114,-6,3,-1,-8
115,6,-3,-14,-5
116,0,-5,-2,-3
117,-8,6,-9,0
118,-8,10,-21,-1
119,-10,14,-27,5
120,-1,-15,10,-3
121,2,-9,-4,0
122,-3,-1,-4,-7
123,3,-15,10,-5
124,-1,-7,-6,0
125,-13,9,-14,1
126,-10,11,-20,-3
127,5,-20,9,-9
128,1,-11,-1,-7
129,0,-5,-2,-12
130,9,-21,1,-4
131,-9,5,-9,-4
132,0,-10,0,-6
133,2,-10,-4,2
134,-9,8,-19,1
135,9,-19,6,-6
136,-3,5,-10,-1
137,-2,-3,0,-1
138,0,-7,0,-5
139,-7,-1,-2,-5
140,-3,-3,-9,-5
141,-2,-5,-1,-1
142,0,-8,-6,-4
143,-3,-1,-9,1
144,-5,0,-1,-2
145,0,-5,0,-1
146,-8,1,-4,0
147,6,-20,11,-4
148,1,-9,-3,1
149,2,-14,8,-13
150,-1,-5,-5,0
151,-1,-14,2,-6
152,-7,-5,3,-9
153,6,-20,3,-7
154,-4,-6,-5,-6
155,-4,0,-4,-6
156,0,-6,-3,-7
157,-9,12,-23,-1
158,-4,-5,1,-2
159,-10,6,-17,-4
160,-8,-1,-12,0
161,-1,-12,4,-6
162,-5,-1,-6,-4
163,-8,6,-17,1
164,-7,2,-15,-5
165,-9,14,-32,6
166,1,-5,-15,0
167,-1,-3,-8,0
168,-1,-5,-5,-3
169,-2,-5,-4,-3
170,-9,14,-24,3
171,4,-16,4,1
172,10,-22,12,-8
173,-1,-13,19,-9
174,2,-8,5,-9
175,-7,0,-13,6
176,3,-12,2,-8
177,6,-15,7,-7
178,-1,-6,2,-4
179,5,-22,19,-7
180,-1,4,-19,1
181,-8,6,-14,-2
182,0,-1,-4,-2
183,0,-6,8,-12
184,3,-5,0,3
185,6,-12,0,-6
186,-3,0,1,-5
187,-3,-5,0,-6
188,6,-10,-1,-4
189,-3,3,-8,1
190,-8,13,-27,2
191,5,-15,2,0
192,8,-27,27,-17
193,1,-10,3,-1
194,-3,-5,0,-3
195,2,-12,4,-9
196,0,-8,8,-5
197,-5,3,-2,1
198,-9,17,-22,2
199,-1,0,-5,-2
200,-3,-10,6,-5
201,1,-2,-5,-1
202,4,-18,9,-6
203,-1,3,-12,-1
204,-3,4,-22,8
205,-4,3,-16,1
206,-3,-2,-7,-1
207,4,-4,-11,0
208,0,-9,0,-7
209,6,-15,-4,-3
210,0,0,-8,-3
211,-7,3,-10,-1
212,-3,-1,-6,-3
213,0,-19,7,-7
214,-5,0,-9,1
215,0,-3,-14,5
216,-3,4,-20,1
217,-10,0,-5,3
218,0,2,-20,3
219,-2,-1,-8,-1
220,-3,1,-10,1
221,0,-4,1,-5
222,-4,-12,3,-2
223,-5,0,-3,-1
224,-7,1,0,-3
225,-3,-5,1,-1
226,-9,6,-6,0
227,2,-19,9,-10
228,-6,0,-1,-6
229,-4,-9,2,-2
230,7,-11,-4,-8
231,0,0,-17,0
232,0,-3,-1,0
233,2,-12,3,3
234,-5,6,-13,3
235,-2,-11,2,0
236,0,-8,0,-1
237,0,0,-12,-2
238,0,-3,0,-3
239,-3,2,-15,0
240,2,-9,-2,5
241,-3,0,-11,6
242,0,-2,-6,-3
243,-10,11,-22,0
244,-7,4,-16,6
245,-5,2,-14,3
246,0,-9,-3,6
247,-5,3,-20,9
248,8,-11,-16,9
249,-5,-1,-1,-3
250,-6,2,-14,4
251,0,0,-9,1
252,7,-22,9,0
253,-2,-14,7,3
254,1,-5,-5,2
255,1,-15,8,-2
256,0,0,-16,13
257,-2,-7,0,2
258,2,0,-16,6
259,2,-16,1,0
260,1,-14,2,-2
261,-5,-6,3,3
262,-4,-7,-1,6
263,-8,-3,2,0
264,-10,9,-8,3
265,-12,9,-13,4
266,-13,16,-29,10
267,-2,0,-11,6
268,-3,6,-16,10
269,0,-14,9,1
270,2,-14,7,-5
271,-4,-1,-1,4
272,2,-3,-16,9
273,2,-12,-1,0
274,-1,4,-17,3
275,-1,-1,-21,9
276,-7,-3,1,-4
277,2,-12,9,-1
278,-4,6,-8,9
279,-5,0,-16,14
280,-7,0,-8,0
281,2,-9,0,4
282,3,-11,2,-3
283,-14,10,-18,4
284,-5,-5,-6,6
285,-5,-4,-6,-2
286,-4,0,-16,2
287,-3,-6,8,-6
288,-7,1,-5,6
289,0,9,-19,1
290,0,0,-25,8
291,-4,7,-20,9
292,0,-7,6,6
293,-13,1,3,0
294,-2,1,-6,4
295,-3,-2,-12,3
296,0,-3,-2,0
297,0,-8,0,0
298,-3,-1,-11,11
299,0,-9,-3,5
300,0,-5,-8,7
301,-3,4,-17,6
302,-9,12,-23,16
303,3,-5,-10,11
304,-7,0,-13,11
305,-3,-4,-5,14
306,-4,3,-12,14
307,0,2,-14,14
308,-5,-1,-8,15
309,-4,0,-5,13
310,-11,5,-8,11
311,-2,-8,-2,12
312,3,-17,6,13
313,5,-18,8,7
314,-10,9,-19,17
315,-1,4,-25,21
316,0,-13,15,3
317,-3,6,-21,14
318,-6,11,-17,11
319,-3,3,-8,10
320,-13,12,-17,12
321,-2,1,-12,13
322,0,4,-9,6
323,0,-5,-13,17
324,-6,4,-9,13
325,-7,4,-3,8
326,7,-4,-16,18
327,0,4,-17,15
328,-4,0,-11,9
329,-1,-8,9,6
330,-4,0,-6,14
331,0,-4,-5,14
332,-6,3,-12,9
333,-8,20,-27,20
334,-2,-7,3,9
335,-9,9,-11,11
336,-2,5,-14,16
337,-6,-3,2,3
338,2,-3,-3,3
339,3,-4,-10,15
340,-2,-3,-8,17
341,-4,-5,-4,12
342,0,-1,-9,7
