Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,9,-9,2,-7
2,0,-13,13,-4
3,-8,9,-8,-1
4,-5,12,-9,5
5,-2,6,-7,-1
6,5,-9,8,-6
7,0,-19,17,-4
8,4,-4,-3,1
9,0,-18,10,-6
10,-2,-3,1,-5
11,5,-8,0,1
12,5,-13,12,-5
13,0,5,-5,-2
14,-5,1,3,-7
15,-2,0,0,-5
16,-7,12,-18,0
17,-1,-8,-1,0
18,-6,8,-7,-4
19,6,-11,-4,-6
20,-1,-6,-6,-1
21,0,-4,8,-3
22,1,-10,2,4
23,-3,-6,3,2
24,1,-15,21,-7
25,-3,0,-1,0
26,-6,0,-1,-1
27,-6,11,-18,3
28,3,-14,10,-7
29,5,-16,4,-4
30,3,-14,8,-1
31,1,-5,0,-6
32,-3,6,-13,0
33,-4,4,-15,4
34,-3,5,-13,0
35,1,-9,-4,0
36,-2,-7,12,-10
37,-8,-5,13,-4
38,0,-12,4,0
39,3,-3,-1,-6
40,-1,-8,5,-6
41,-13,10,-10,-2
42,-5,-5,11,-12
43,-1,-7,0,-2
44,-1,-18,9,-7
45,-1,-6,3,-9
46,-14,8,-4,-3
47,5,-7,-3,-6
48,2,-11,12,-9
49,1,-14,10,-5
50,-4,10,-22,1
51,8,-19,3,-6
52,-1,-10,13,-7
53,-7,6,0,-9
54,-2,0,-7,1
55,-5,10,-16,-2
56,-1,0,-10,5
57,-7,6,0,0
58,3,-12,7,-2
59,-4,-6,-1,-2
60,-1,-12,11,-7
61,-2,6,-24,12
62,-6,-2,-7,0
63,-6,4,-13,0
64,-5,-7,1,-1
65,1,-4,0,-6
66,0,-19,20,-12
67,-1,5,-21,2
68,-16,8,-4,1
69,3,-8,-2,-8
70,1,-13,6,0
71,-5,3,-14,4
72,3,-13,11,-7
73,-3,0,-11,1
74,0,-13,7,-3
75,-1,-5,-4,1
76,-2,-7,0,0
77,0,-15,10,-3
78,-12,1,-12,-4
79,0,-8,6,-7
80,7,-25,19,-11
81,-10,-1,2,0
82,9,-23,12,-5
83,1,-15,10,-11
84,-8,2,-4,1
85,-9,8,-10,0
86,0,-1,-7,2
87,2,-1,-11,-1
88,4,-12,0,-5
89,0,0,-8,-6
90,-9,-2,0,-3
91,-5,-3,-3,-3
92,3,-11,1,-1
93,0,-10,5,-7
94,2,-9,-2,1
95,-5,0,-7,4
96,-6,-2,2,-4
97,-3,2,-16,0
98,0,-15,9,-6
99,-1,-5,1,-3
100,2,-11,1,0
101,-1,-15,15,-13
102,-4,-5,6,-4
103,0,-8,-4,-1
104,-12,12,-17,4
105,-3,-3,2,-3
106,4,-20,10,-6
107,-6,-8,7,-14
108,3,-19,1,-4
109,2,-12,7,-9
110,-4,-9,7,0
111,-5,0,-5,-1
112,-3,0,-19,6
113,-3,-4,3,-2
114,2,-14,-1,-6
115,6,-19,2,-2
116,-3,-4,-1,0
117,-1,-4,-7,-3
118,0,-22,9,-2
119,-1,-14,5,-4
120,-5,-11,6,-5
121,0,-14,6,-7
122,-8,11,-19,4
123,1,-15,6,-3
124,0,-14,14,-14
125,-11,4,-2,0
126,1,-10,1,-3
127,-1,-9,-9,6
128,-4,-3,-4,-4
129,5,-12,-9,-3
130,1,-14,5,-6
131,-4,-14,7,-2
132,-6,-3,-4,-5
133,-1,-16,14,-16
134,0,-20,9,-8
135,0,-16,8,-3
136,6,-30,17,-3
137,-8,6,-11,-2
138,3,-14,4,-4
139,-2,-5,-7,2
140,-5,-2,-3,-2
141,-6,-16,19,-4
142,1,-12,-1,-5
143,-3,-17,15,-11
144,-10,8,-15,0
145,-2,0,-2,-2
146,2,-32,34,-19
147,0,-9,5,-9
148,-8,-2,-2,-6
149,-5,-9,12,-12
150,-6,2,-14,7
151,-2,0,-8,-1
152,0,-12,7,-7
153,-8,-7,3,-5
154,-12,6,-13,-2
155,-5,-5,-9,-5
156,-6,-8,0,-2
157,-2,0,-22,0
158,3,-21,19,-11
159,-7,0,-4,-10
160,-6,-12,9,-8
161,-2,-15,8,-7
162,-6,2,-10,0
163,0,-10,-4,0
164,-9,2,-11,1
165,-9,-2,-1,-6
166,-2,-7,-6,-2
167,-8,-5,2,-8
168,0,-12,8,-5
169,0,-2,-16,-3
170,1,-15,5,-9
171,0,-17,14,-12
172,0,-24,19,-12
173,5,-27,18,-10
174,-5,-7,1,-4
175,0,-24,26,-17
176,-4,-9,0,-9
177,-4,-10,9,-6
178,3,-17,5,-2
179,0,-3,-7,-5
180,-3,-5,-5,-5
181,-3,-8,-6,0
182,-2,-4,-3,-2
183,-8,-5,10,-11
184,8,-37,26,-16
185,4,-12,-7,0
186,-4,-4,-5,-8
187,0,-3,-10,-1
188,-6,-1,6,-12
189,1,-15,6,-4
190,-6,-2,1,-6
191,-1,-7,-7,-5
192,0,-17,13,-9
193,1,-7,-5,-2
194,-2,-14,8,-8
195,-4,-5,0,-2
196,-2,-6,1,-2
197,-3,3,-1,0
198,0,-7,7,-7
199,1,-15,11,-8
200,3,-14,7,-7
201,-2,-11,13,-3
202,-9,-5,7,-4
203,8,-23,0,-1
204,-1,-3,-7,2
205,-10,2,-13,0
206,-1,-15,9,-6
207,-5,4,-9,0
208,-6,-6,2,-5
209,3,-18,2,-2
210,2,-8,3,-12
211,1,-14,1,-1
212,-9,1,-6,0
213,5,-15,2,-5
214,-2,-11,5,-4
215,-1,-18,17,-5
216,-3,-2,0,-1
217,-4,-7,14,-5
218,-5,-8,12,-8
219,-7,4,-7,3
220,-2,-4,5,-7
221,-7,1,-1,-2
222,0,-2,-10,8
223,-3,-11,3,0
224,-4,-5,4,-4
225,3,-12,-6,1
226,-3,0,-6,-2
227,5,-13,-3,-3
228,-3,-12,-6,2
229,1,-5,-7,0
230,-10,-4,0,-4
231,-7,-1,-4,1
232,-1,-3,-3,0
233,-4,-5,-2,0
234,8,-19,18,-12
235,-2,-11,2,-6
236,4,-14,3,0
237,-2,-9,1,-5
238,-6,-1,0,0
239,2,-17,7,-6
240,-2,-12,12,-8
241,-1,-20,14,-1
242,-7,-1,-5,0
243,1,-14,2,-8
244,-8,12,-26,2
245,-3,-8,0,-3
246,0,-21,14,-7
247,-5,-1,-2,-3
248,-6,1,-8,2
249,-4,-9,12,-7
250,-7,1,-10,0
251,-6,-3,0,-6
252,-5,-11,2,5
253,3,-16,3,6
254,-12,4,-3,-1
255,-4,-4,-8,4
256,0,-16,2,0
257,-10,0,-3,1
258,-3,-7,-1,3
259,-6,-4,0,3
260,-10,8,-11,2
261,-5,-4,4,-2
262,2,-15,4,-1
263,-7,-8,5,-2
264,-8,-5,3,1
265,-7,0,0,-2
266,-9,12,-22,3
267,-1,-10,8,-3
268,-10,-2,-9,9
269,-2,-5,1,2
270,-6,-14,15,-3
271,-5,2,-14,5
272,-2,-12,7,1
273,-17,8,-7,1
274,-3,-5,5,-2
275,4,-17,10,-4
276,-7,3,-9,2
277,3,-12,2,4
278,-3,-17,3,2
279,3,-13,-3,1
280,2,-12,6,3
281,4,-26,23,-5
282,-5,0,-5,8
283,-6,-2,0,-2
284,-6,-3,-1,-2
285,-2,0,-10,2
286,0,-7,-11,2
287,0,-20,11,-1
288,0,-2,-5,4
289,6,-24,7,5
290,-1,-8,-5,-1
291,0,-3,-6,5
292,-2,-7,0,3
293,-11,5,-8,1
294,-3,-5,-4,0
295,-2,-11,0,2
296,-2,-9,-4,-1
297,-10,11,-21,5
298,5,-18,5,-5
299,-9,0,-1,-1
300,0,-12,12,-2
301,-4,-12,14,-10
302,-4,-4,-4,0
303,-2,-6,-1,4
304,-7,-3,3,-3
305,-2,0,-14,2
306,-8,-3,-10,3
307,-6,0,-13,7
308,-6,-9,-1,2
309,-2,-9,8,2
310,-2,0,-10,2
311,-4,1,-7,6
312,-3,-9,-3,13
313,-4,-12,6,4
314,-4,7,-24,18
315,0,-7,-12,13
316,-3,-4,0,6
317,-12,13,-22,18
318,-13,2,-4,6
319,-8,-1,-7,15
320,-11,-2,3,2
321,-3,-9,5,3
322,-9,2,-12,10
323,-3,-10,0,8
324,-6,2,-10,9
325,-1,0,-16,13
326,-2,-6,-8,20
327,-1,-1,-11,22
328,-6,-12,3,9
329,0,-5,-4,16
330,-9,0,-8,10
331,-4,-6,0,10
332,2,-14,-1,6
333,-4,2,-10,5
334,2,-24,14,4
335,-7,-3,1,16
336,7,-20,15,-1
337,0,-8,-6,8
338,0,-8,6,8
339,0,-14,6,6
340,5,-8,0,6
341,0,-3,-6,15
342,1,-8,1,9
343,2,-11,3,7
344,-9,7,3,3
345,-3,3,-22,19
346,-4,-2,-6,13
347,6,-14,3,3
348,-3,2,-21,17
349,-3,-3,-6,11
350,-1,-10,-2,12
351,-18,18,-31,16
352,-10,2,-4,6
353,-5,2,-9,11
354,-6,0,-12,15
355,-15,9,-17,14
356,-5,10,-17,11
357,4,-14,-8,13
358,-8,4,-14,16
359,-12,11,-19,16
360,-14,27,-39,20
361,0,-12,0,5
362,-10,6,-16,4
363,-7,-12,9,1
364,6,-14,-3,7
365,-2,-2,-17,17
366,-6,3,-9,10
367,2,-17,5,3
368,-4,-6,3,2
369,-6,-6,-12,10
370,1,-6,-10,11
371,-1,-21,21,-1
372,-4,0,-2,1
373,-1,-4,-2,4
374,-2,-6,-7,9
375,-11,3,-9,10
376,-4,-5,0,1
377,-7,-7,0,8
378,-6,-4,0,3
379,-5,2,-10,13
380,-12,4,-5,8
381,-3,-2,-3,6
382,-1,-11,-4,11
383,-5,0,-12,17
384,-1,-3,-9,15
385,-6,1,-8,11
386,0,-1,-7,8
387,-8,-7,1,9
388,-3,-12,0,7
389,-4,-7,-2,4
390,-10,15,-27,12
391,-7,-1,7,-3
392,-6,-4,-2,7
393,-7,2,1,0
394,-3,-5,-6,14
395,-5,4,-10,7
396,3,-19,6,2
397,-10,3,-11,7
398,-2,0,-1,3
399,-4,-2,-12,13
400,-8,8,-14,14
401,-4,5,-8,11
402,5,-9,-4,4
403,4,-5,-11,17
404,-5,8,-15,19
405,-5,13,-21,16
406,3,-7,-2,13
407,0,-4,-3,10
408,-4,-1,1,11
409,-7,1,-8,10
410,-1,-1,-5,13
411,-2,4,-22,20
412,2,-18,5,6
413,0,-2,0,9
414,-1,-8,7,10
415,0,-1,-10,10
416,-4,7,-7,12
417,0,-3,-9,15
418,-6,5,-5,10
