Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,0,7,-14,-1
2,0,10,-19,6
3,-4,2,-2,1
4,2,-9,9,-4
5,4,0,-8,2
6,2,-2,-1,-1
7,2,-1,8,-4
8,4,-8,4,0
9,1,-5,-1,0
10,-5,9,-18,4
11,-7,4,1,0
12,0,5,-10,3
13,-6,10,0,-1
14,0,-5,13,-4
15,-1,0,4,-4
16,-7,11,-10,4
17,8,-9,-1,-2
18,-2,10,-15,3
19,-1,6,-12,-2
20,-10,22,-20,5
21,-1,-1,-2,-3
22,0,-11,15,-5
23,1,-6,2,-7
24,0,-4,0,-6
25,-4,4,-1,-6
26,-7,6,-7,-1
27,8,-22,15,-8
28,-5,13,-14,0
29,0,9,-10,-4
30,1,-3,-3,3
31,0,-11,2,-4
32,-4,1,-5,-3
33,-5,4,-5,-5
34,-2,-1,-11,0
35,-10,16,-17,1
36,-8,6,-1,0
37,-6,20,-29,7
38,2,-7,-2,-2
39,-2,1,-10,0
40,1,-15,12,-3
41,6,-9,7,-12
42,0,-3,5,-13
43,0,-1,-3,-1
44,-4,-5,-3,0
45,0,-9,0,-1
46,-6,0,0,-5
47,0,-12,16,-12
48,-5,0,1,-2
49,-2,-5,3,-11
50,-7,9,-20,3
51,-12,17,-18,2
52,0,-6,-5,-2
53,5,-3,-3,-6
54,-4,3,-4,4
55,4,-4,-10,-5
56,-1,-5,1,-5
57,0,-8,2,-5
58,-1,0,-4,3
59,-2,1,-11,0
60,0,-1,0,-6
61,6,-19,15,-12
62,-6,-9,3,-4
63,2,-12,4,-6
64,-6,3,-11,1
65,8,-19,12,-5
66,1,2,-15,0
67,2,-12,1,-7
68,0,-4,-7,4
69,0,-14,8,-9
70,2,-10,2,-3
71,-1,0,-2,-2
72,1,-8,4,-3
73,-1,0,-2,0
74,-1,1,-5,2
75,-1,-2,0,-3
76,-1,-2,1,-5
77,-4,-5,2,1
78,-5,-4,-10,0
79,1,-10,5,-7
80,0,-9,6,-8
81,3,-15,14,-5
82,8,-15,9,-6
83,3,-15,17,-6
84,-3,8,-16,13
85,-7,10,-8,-2
86,-2,-3,-2,0
87,-11,7,-2,-8
88,-5,7,-17,5
89,2,-13,9,-9
90,-6,0,0,-7
91,-1,-3,-10,-2
92,-1,0,0,-4
93,-7,0,-2,-1
94,4,-14,10,-10
95,-1,-9,5,-6
96,-5,2,-9,3
97,-2,-4,1,-4
98,-6,-1,2,-6
99,-10,7,3,-13
100,-4,7,-4,-2
101,-3,2,-1,1
102,1,-4,1,-3
103,0,-5,0,-10
104,-3,-11,8,-10
105,-4,-3,2,-3
106,0,-9,2,0
107,-7,0,-5,-1
108,-4,0,-9,0
109,-1,-9,-1,-2
110,-5,-12,13,-6
111,-1,-14,0,-5
112,-7,-6,6,-17
113,-2,-3,-5,-5
114,-1,0,-9,1
115,6,-15,0,-12
116,0,-11,1,0
117,-5,-4,-4,-2
118,-19,22,-14,-4
119,-8,8,-1,-7
120,-6,4,0,-8
121,-9,-4,4,0
122,-14,5,-5,-4
123,2,-21,20,-10
124,-1,-10,2,-2
125,4,-26,26,-14
126,2,-8,-1,-7
127,-15,14,-17,1
128,-9,6,-15,0
129,-6,4,-10,-2
130,-2,-12,12,-8
131,0,-7,0,-1
132,0,-10,4,-8
133,-2,-4,5,-12
134,-5,4,-12,-4
135,-9,5,-9,-4
136,-2,-5,12,-8
137,-11,12,-9,-3
138,-3,-9,10,-1
139,-3,-5,-1,-7
140,-1,-1,-10,1
141,0,-7,1,-5
142,-5,2,-9,-6
143,2,-18,18,-9
144,9,-32,28,-11
145,5,-21,11,-9
146,-10,9,-6,-3
147,0,-13,14,-10
148,-2,0,-9,0
149,-2,-5,4,-7
150,-16,0,11,-13
151,-11,-1,3,-7
152,3,-17,0,-8
153,0,-8,0,-6
154,-1,-5,-5,-10
155,-3,-14,4,-8
156,-6,-8,10,-12
157,-11,11,-11,-12
158,-1,-4,3,-7
159,-9,-1,1,-8
160,-5,-9,4,-11
161,-5,-6,3,-7
162,-8,2,-11,0
163,1,-20,15,-11
164,-1,-2,-12,-3
165,-5,2,-14,1
166,-4,5,-22,3
167,2,-3,-8,-5
168,7,-18,6,-5
169,-5,-8,12,-13
170,-8,-1,1,-11
171,-3,-8,8,-9
172,-3,-4,4,-6
173,7,-31,22,-17
174,-5,5,-5,-2
175,4,-13,0,-6
176,-6,7,-12,-2
177,0,-15,17,-8
178,1,-7,-1,-5
179,-1,-25,26,-20
180,-13,1,-4,-10
181,-13,18,-23,0
182,6,-16,2,-12
183,4,-20,15,-14
184,8,-25,20,-12
185,-9,0,-9,0
186,4,-7,3,-4
187,4,-16,7,-6
188,-5,0,-3,-6
189,4,-9,-11,0
190,-18,19,-19,-6
191,-2,1,-10,-3
192,0,-11,10,-9
193,-4,-9,5,-8
194,-1,-6,10,-13
195,0,-11,0,-7
196,0,-23,19,-5
197,0,-15,9,-7
198,0,-7,4,-10
199,-9,1,-6,-2
200,1,-14,8,-11
201,1,-4,1,-4
202,3,-15,2,-3
203,0,-6,1,-9
204,3,-12,-1,-8
205,-9,7,-13,-7
206,-5,-3,-3,-2
207,-1,-3,0,-8
208,-5,12,-15,0
209,-7,-3,8,-7
210,-12,6,-5,-4
211,-8,18,-20,4
212,-2,0,3,-3
213,-6,6,-2,-1
214,-5,4,-2,-3
215,5,-14,15,-1
216,0,-1,0,-1
217,-2,-1,-2,1
218,-4,-4,10,-5
219,-3,10,-14,6
220,-1,-4,3,-3
221,-11,24,-29,7
222,-2,-9,11,-3
223,-3,2,-2,3
224,9,-23,17,-8
225,-4,-1,-6,6
226,0,-7,3,-6
227,2,-9,0,0
228,-1,0,-4,-3
229,-3,4,-11,5
230,-1,0,-10,2
231,-6,-2,-9,3
232,-11,3,-9,1
233,-3,-6,2,-7
234,0,-5,0,-2
235,0,-3,-1,-1
236,3,-20,19,-11
237,1,-7,-7,3
238,-7,1,-7,0
239,-12,12,-15,0
240,8,-19,12,-4
241,-4,-5,10,-5
242,-4,2,-5,0
243,2,-3,-14,2
244,-7,3,-13,1
245,-7,-5,4,-5
246,-2,-8,8,-7
247,-5,2,-7,-1
248,-1,-11,3,-2
249,-4,1,-4,-5
250,0,-10,5,-6
251,5,-11,-1,-3
252,-1,-6,0,1
253,-6,-9,6,-2
254,0,-6,1,-6
255,-4,1,-2,2
256,-1,-10,10,-7
257,1,-1,-7,-9
258,-2,-1,-3,2
259,-4,-1,-1,1
260,-6,5,-11,2
261,3,-16,20,-9
262,-1,-1,1,-5
263,-6,-9,12,0
264,4,-14,5,-6
265,-5,-1,-9,3
266,-10,12,-16,7
267,-7,3,0,0
268,-2,-8,1,2
269,4,-5,4,1
270,-3,-2,-5,0
271,-6,-1,2,-1
272,-2,0,0,-3
273,-9,-4,11,-3
274,-3,4,-12,8
275,-2,-1,-7,-1
276,-3,4,-23,6
277,3,-7,7,-5
278,-4,0,-4,5
279,1,-4,-6,-1
280,2,-11,1,-2
281,-2,-1,0,-2
282,-11,5,-10,5
283,-9,10,-13,2
284,-8,11,-5,0
285,-6,-3,0,-2
286,-2,-9,-1,7
287,-3,0,-4,6
288,-6,4,-9,-2
289,-12,0,9,-6
290,3,-23,18,-6
291,-1,-7,4,-4
292,0,-3,1,3
293,4,-6,-7,5
294,-7,-7,7,-5
295,4,-7,2,2
296,-7,14,-21,3
297,0,-2,-4,-1
298,1,-11,1,3
299,0,-2,-3,0
300,-1,1,-10,-2
301,-3,-5,4,-1
302,-3,5,-12,0
303,-4,-7,5,-2
304,-7,0,-7,-2
305,1,-6,-9,1
306,0,-7,-3,0
307,6,-22,13,-16
308,-6,0,-1,2
309,-8,2,0,-1
310,-1,-4,-8,3
311,-6,-1,7,-2
312,-5,0,-2,4
313,-1,1,0,0
314,-5,2,-3,3
315,-3,-15,15,-5
316,-6,10,-22,16
317,0,-1,-1,1
318,-5,2,-8,6
319,0,6,-15,11
320,-2,1,-12,11
321,-4,0,-8,5
322,-10,5,-14,11
323,-4,-3,0,6
324,3,-10,-5,4
325,-3,-6,0,8
326,2,-4,-6,13
327,-4,-3,1,8
328,-2,-4,5,7
329,0,-13,7,9
330,3,-4,-5,14
331,-5,-3,-4,9
332,-7,4,-8,17
333,-4,-3,3,6
334,-1,-9,3,8
335,-4,-5,-4,5
336,3,-18,2,8
337,-9,-3,-3,10
338,1,-11,5,1
339,-3,2,-9,11
340,2,-9,4,4
341,0,2,-16,15
342,-11,9,-10,11
343,0,-8,3,12
344,0,-3,11,-1
345,-5,4,-17,17
346,-4,4,-13,12
347,-3,4,-18,11
348,-11,9,-15,10
349,-2,-5,-8,9
350,-5,-2,-1,10
351,0,-3,-2,6
352,-3,-1,-7,7
353,-11,17,-17,10
354,-1,-5,-4,6
355,0,-13,5,8
356,3,-16,13,0
357,-11,15,-16,8
358,0,1,-11,10
359,-8,17,-24,12
360,-8,-8,3,9
361,3,-3,-8,10
362,3,-1,-14,6
363,-3,-1,-5,9
364,-2,-11,7,6
365,0,-7,4,4
366,0,-4,-2,5
367,-1,-5,2,4
368,-7,2,0,6
369,-4,3,-9,3
370,-7,10,-16,10
371,3,-8,0,3
372,-4,2,-5,7
373,-1,-10,10,0
374,-7,7,-6,4
375,-9,10,-12,5
376,-3,15,-26,16
377,0,-2,-3,6
378,0,-3,-5,11
379,-2,2,-3,0
380,-11,10,-10,7
381,-8,7,-16,11
382,4,-6,-8,9
383,-4,-3,4,6
384,-3,-2,-1,8
385,-1,1,-8,15
386,2,-2,-9,13
387,-7,5,-13,11
388,-5,-1,-5,8
389,-2,18,-23,8
390,-2,-5,-9,14
391,-3,8,-13,9
392,-2,-9,5,4
393,-5,5,-7,9
394,-4,15,-22,13
395,-5,-4,-1,1
396,-4,4,-14,7
397,-3,3,-11,3
398,2,-7,-5,10
399,2,-7,0,6
400,0,-4,-8,2
401,-5,1,-1,2
402,0,3,-17,12
403,-3,-7,-2,4
404,-6,8,-8,5
405,-5,0,-7,8
406,0,-9,4,3
407,-1,3,-11,15
408,-4,6,-9,12
409,5,3,-6,9
410,3,-13,15,4
411,-6,9,-6,9
412,-3,12,-11,12
413,2,-5,11,5
414,-1,10,-12,15
415,2,-8,7,-1
416,-11,10,-8,10
417,4,-7,-6,9
418,-2,9,-19,18
419,0,-1,-9,10
420,-6,6,-13,11
421,-10,12,-15,12
422,-5,5,-10,6
423,-15,15,-16,22
424,2,0,-8,1
425,7,-10,-2,8
426,-4,10,-18,15
427,-2,5,-16,13
428,-6,0,-11,15
429,2,-10,-2,5
430,-1,6,-18,14
431,-3,-7,5,11
432,-13,19,-32,14
433,-2,-6,7,2
434,-6,11,-16,17
435,1,-1,-10,17
436,-9,16,-20,22
437,-3,-5,-6,13
438,-10,8,-9,7
439,-3,1,-3,9
440,0,1,-14,7
441,-3,-1,-5,4
442,0,-4,-1,12
443,0,2,-18,14
444,-2,0,-16,18
445,-6,3,-1,10
446,1,-6,-1,8
447,-1,2,-11,12
448,-2,-5,3,15
449,-5,6,-16,10
450,-2,10,-18,14
451,0,2,-10,9
452,-1,1,-15,15
453,-5,-4,-2,9
454,-5,1,-1,5
455,-6,6,-17,13
456,1,-7,0,13
457,-3,-12,14,4
458,-14,12,-10,16
459,-3,7,-14,14
460,-2,0,-5,16
461,-6,0,7,3
462,-4,-15,12,-1
463,-10,3,-7,6
464,-4,6,-11,10
465,-1,-3,-8,8
466,-4,5,-16,11
467,0,-8,7,2
468,-12,14,-16,13
469,0,-4,-2,8
470,3,-10,0,7
471,0,-6,-7,12
472,-10,16,-20,10
473,3,-1,-4,8
474,-6,4,-18,16
475,-5,11,-15,6
476,-7,4,-15,9
477,-6,3,-13,7
478,-5,4,-10,5
479,-7,19,-30,17
480,-1,2,-9,3
481,-11,19,-23,10
482,-6,7,-7,4
483,-11,14,-27,13
484,-4,0,-5,6
485,-3,6,-18,12
486,-1,9,-23,10
487,-9,18,-31,13
488,0,-2,-4,5
489,-6,11,-10,5
490,-11,7,-11,8
491,-4,4,-4,12
492,0,-7,7,1
493,1,-5,-8,13
494,-6,2,-9,7
495,-10,1,-4,7
496,-7,0,6,2
497,-5,1,-7,8
498,4,-7,-4,8
499,-5,5,-10,5
500,5,-12,-3,5
501,-6,4,-5,5
502,-5,4,-4,6
503,3,-15,13,3
504,-1,-7,0,7
505,1,-16,15,-1
506,-4,14,-20,6
507,-1,4,-6,4
508,-2,10,-24,13
509,-10,13,-14,9
510,-7,1,-7,10
511,-7,11,-21,10
512,-4,7,-22,8
513,-12,20,-24,14
514,3,-7,-6,5
515,-4,11,-20,11
516,-1,5,-20,11
517,0,0,-11,7
518,3,-14,0,5
519,-4,-2,2,4
520,-5,0,-6,11
521,-1,-2,-10,14
522,0,1,-12,9
523,-5,0,-3,4
524,-11,13,-21,13
525,-7,0,-6,5
526,-5,11,-23,12
527,-7,5,-13,7
528,-11,6,-11,4
529,-5,8,-17,12
530,1,-3,-14,7
531,-3,-5,2,0
532,-11,14,-19,11
533,-2,-6,3,-3
534,0,4,-19,13
535,0,-3,-3,0
536,-9,11,-13,3
537,-3,11,-26,9
538,0,-3,-8,5
539,-14,9,-12,1
540,-10,12,-20,2
541,-5,5,-16,5
542,-11,4,-15,7
543,-9,-1,1,1
544,-8,1,-6,5
545,-6,2,-6,1
546,-7,10,-21,9
547,-6,5,-19,8
548,-6,15,-33,9
549,-3,-8,6,-4
550,-2,-1,-6,8
551,-1,-1,-8,0
552,-10,14,-21,9
553,1,4,-12,2
554,2,-7,0,5
555,-6,5,-10,1
556,2,-8,8,-4
557,4,-6,-1,1
558,-1,8,-13,-2
559,-4,-4,4,-2
560,-10,13,-17,3
561,-8,4,-10,0
562,-1,0,-6,0
563,-1,4,-16,11
564,3,-2,-6,8
565,-4,9,-8,1
566,0,-3,-2,0
567,-2,-4,1,2
568,-3,0,-5,4
569,-1,4,-12,10
570,-2,15,-24,14
571,4,3,-13,11
572,-3,4,-5,10
573,-5,0,7,2
574,-4,0,7,-2
575,-3,11,-19,11
576,-2,0,-5,2
